series,start_date,end_date,n_days,annual_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar
Overnight L/S,2013-01-02,2024-12-31,3019,0.008061227270792741,0.007784394868410649,0.024771306315444885,0.32542600572366964,0.1942411639253735,-0.06777466227615514,0.1148570071318437
SP500 TR,2013-01-02,2024-12-31,3019,0.15128488638294788,0.1467129243267431,0.16906884292657376,0.89481233658558,1.0845967230378635,-0.3379046158626988,0.4341844338295667
