year,missing_fraction
2010,0.012423352555421999
2011,0.012511650238653374
2012,0.01315648884868257
2013,0.008787518457055495
2014,0.008704717227000261
2015,0.00787180052956752
2016,0.007561901705973582
2017,0.006814986858993949
2018,0.00811905407784964
2019,0.003973738769868694
2020,0.001434451789946364
2021,0.0013063941731240717
2022,0.0004812105117762906
2023,0.001306789992203558
2024,0.0011861223682909953
