date,n_names,r_overnight,r_intraday,r_close_to_close,growth_r_overnight,growth_r_intraday,growth_r_close_to_close
2010-01-04,1000,0.010459067184698632,0.007375618437982054,0.017923563725127985,1.0104590671846987,1.007375618437982,1.017923563725128
2010-01-05,1000,-0.0002666265992495961,0.0009031919340389333,0.0006428934656765328,1.0101896519199343,1.0082854719711027,1.0185779801328052
2010-01-06,1000,-0.0005342306790194966,0.002914466555729751,0.0023917816648482164,1.0096499776162506,1.0112240862577906,1.021014196269905
2010-01-07,1000,-0.0010713225811656106,0.00854663054383442,0.007463606395414694,1.008568316796157,1.0198666449200624,1.0286346443549945
2010-01-08,1000,-0.003169030951190448,0.007190823586217908,0.0039958963850123905,1.0053721325838398,1.0272003260451505,1.0327449618118711
2010-01-11,1000,0.004937606114717171,-0.004595097415558858,0.0002786390400302008,1.010336264173252,1.0224802404816793,1.0330327248766265
2010-01-12,1000,-0.00690279581549094,-0.004552433594949194,-0.011421712167878939,1.0033621192366782,1.0178254670847389,1.021233722433086
2010-01-13,1000,0.00311530026472947,0.008397941902527177,0.01152848243734429,1.0064878935123558,1.026373106224229,1.0330069974665796
2010-01-14,1000,-0.002111264914116969,0.005006887137501571,0.0028884522394638404,1.0043629309362996,1.0315120405280604,1.0359907888417939
2010-01-15,1000,0.0006449083400779304,-0.013040664100571968,-0.012425289498186862,1.0050106529669256,1.0180604384918386,1.0231183033729796
2010-01-19,1000,0.000574376668774451,0.013711414288459792,0.014284855352855697,1.0055879076378595,1.0320194869346913,1.0377334003455216
2010-01-20,1000,-0.007676464849903211,-0.0035028209798328097,-0.011133379707908389,0.9978685474113898,1.02840450742426,1.026179920363896
2010-01-21,1000,0.0017576932024043752,-0.01653506437812474,-0.014791954984036298,0.9996224941740679,1.0113997726872463,1.0110007131763512
2010-01-22,1000,-0.0022530899513622895,-0.01736469427734841,-0.019574087359438216,0.9973702547772886,0.9938371248423526,0.9912112968961829
2010-01-25,1000,0.009195649003921462,-0.006421040666207563,0.002698059219767659,1.0065417215671724,0.9874556562481531,0.9938856436745115
2010-01-26,1000,-0.0035605212614102013,-0.0018841629466425744,-0.005449804419491918,1.0029579083670361,0.9855951288891976,0.9884691613011446
2010-01-27,1000,-0.0021971175457559957,0.009929179288546553,0.007691880308787641,1.000754291948908,0.9953812796298566,0.9960723477788006
2010-01-28,1000,0.0029720224637913785,-0.017374371637418125,-0.014515778594169504,1.003728556185316,0.9780871553566386,0.9816135821146689
2010-01-29,1000,0.005034176857448028,-0.015223343302808246,-0.010293450970614477,1.0087815032540237,0.9631973988105773,0.9715093908350823
2010-02-01,1000,0.005383098008158054,0.009177748370358849,0.014628081751741481,1.014211872954857,0.9720373821678449,0.9857207096268024
2010-02-02,1000,0.0018442078477631965,0.008881819517761133,0.010738713897224765,1.0160822904502549,0.9806708427607767,0.996306082310054
2010-02-03,1000,-0.0042482539166074865,-0.0027061879591840686,-0.006962748384427807,1.0117657148802541,0.9780169631341745,0.9893690537450541
2010-02-04,1000,-0.007493859062995497,-0.02509700480996517,-0.03239396502324842,1.0041836852081707,0.9534716667061687,0.9573194672229525
2010-02-05,1000,0.0007019607613394372,0.0023342416220729343,0.0029948536644078733,1.0048885827523641,0.9556972999560613,0.9601864989373741
2010-02-08,1000,0.0007391202965153627,-0.009208607443155355,-0.008487909373986495,1.005631316299613,0.9468966586862825,0.9520365229522683
2010-02-09,1000,0.012296172361272688,0.0018858002197109295,0.014213256858389246,1.0179967322967267,0.9486823166132765,0.9655680625915567
