aum_label,aum,active_days,position_count,avg_per_stock_abs_position,avg_daily_peak_abs_position,peak_per_stock_abs_position,avg_position_adv_share_pct,peak_position_adv_share_pct,max_cap_utilization,cap_binding_positions,cap_binding_days,cap_violations_gt_5pct_adv
50m,50000000.0,424,32132,659778.4140420764,1580882.044308131,3002520.3490542457,0.8112100940904764,5.000000000000001,1.0,138,116,0
250m,250000000.0,424,32132,3298892.0702103823,8859188.089658057,19421106.56028554,2.9368626072173303,5.000000000000001,1.0,10972,424,0
1b,1000000000.0,424,32132,11289758.539544737,94499548.69800165,390574981.067833,4.588550722556563,5.000000000000001,1.0,27782,424,0
