bucket,n_stock_days,market_cap_definition,participation_cap,k,median_year_start_market_cap,median_adv20,median_annualized_vol,median_daily_vol,median_max_position_at_cap,median_impact_bps_at_cap,average_year_start_market_cap,average_adv20,average_annualized_vol,average_daily_vol,average_max_position_at_cap,average_impact_bps_at_cap
Typical mid-cap,1417005,$1bn-$10bn,0.05,0.7,4920633725.58,48717287.094,0.27889653596313113,0.017568830373233972,2435864.3547,27.49956929979991,5243669536.415609,88378510.53824541,0.32202831930989007,0.02028587733366828,4418925.526912274,31.752420490913124
Typical large-cap,1420099,>= $10bn,0.05,0.7,25331709110.5276,209886815.372,0.23341190807805054,0.014703568138466426,10494340.768600002,23.014724508587676,58210596206.428314,1358355152.09237,0.272166420973395,0.017144872979002797,67917757.6046186,26.83597101265471
