year,n_days,avg_n_names,annual_overnight,annual_intraday,annual_close_to_close
2010,252,1000.0,0.10821832202751835,0.1598874455563477,0.2828561760548216
2011,252,999.9960317460317,0.0603672562130364,-0.04169266165151797,0.014592763145009569
2012,250,999.996,0.04700644285063782,0.16031650241701856,0.2135777459980468
2013,252,999.9960317460317,0.15183668468299727,0.21247397335488905,0.3950012244985859
2014,252,1000.0,0.1035959909806703,0.02364177651371846,0.12816905329584438
2015,252,999.9920634920635,-0.016328188744183403,0.006961608252702645,-0.010812936105450532
2016,252,999.9920634920635,-0.01153473723970555,0.2161933846681523,0.20144256975633335
2017,251,1000.0,0.16214467876901462,0.04518153164431826,0.21405564708142832
2018,251,999.9960159362549,0.11947353351474144,-0.17905357602182592,-0.08202191222177635
2019,252,999.9880952380952,0.12945551414172796,0.15874667136380483,0.3081855510378797
2020,253,1000.0,0.2488271140567777,-0.027978336194538933,0.2103357719329877
2021,252,1000.0,0.29947538158325093,-0.01052183266083817,0.28403515875143626
2022,251,999.9960159362549,-0.10897744652661201,-0.028147515077637908,-0.13477711581003315
2023,250,999.944,0.06527374956202903,0.12512894083554915,0.19640462066496212
2024,252,1000.0,0.21770464051796057,-0.058832944120004615,0.1448001961672989
