date,alpha_spread,spread_threshold,rolling_ic,trade_allowed
2013-01-02,0.08245606108724808,,,False
2013-01-03,0.07495241085858939,,,False
2013-01-04,0.06018904323234439,,,False
2013-01-07,0.07118913999913658,,,False
2013-01-08,0.06461094573699071,,,False
2013-01-09,0.06206822780708739,,,False
2013-01-10,0.05506204974298985,,,False
2013-01-11,0.05636214275261947,,,False
2013-01-14,0.06060752955432857,,,False
2013-01-15,0.07540556364972678,,,False
2013-01-16,0.08386694971156253,,,False
2013-01-17,0.05510842785905139,,,False
2013-01-18,0.05206901457186941,,,False
2013-01-22,0.058242216134794064,,,False
2013-01-23,0.06371557838466402,,,False
2013-01-24,0.05821905394974685,,,False
2013-01-25,0.052881455547611436,,,False
2013-01-28,0.06390120791410912,,,False
2013-01-29,0.06300539852729203,,,False
2013-01-30,0.06397397801222901,,,False
2013-01-31,0.07341364831395222,,0.06567103954740831,False
2013-02-01,0.06645157468964469,,0.0682070325212289,False
2013-02-04,0.08047858941087022,,0.07559706432051498,False
2013-02-05,0.06101882097830279,,0.07593735230605252,False
2013-02-06,0.0781451026338286,,0.08134627473607106,False
2013-02-07,0.06793658437470096,,0.07981594350578798,False
2013-02-08,0.06390666166795969,,0.07672159291576462,False
2013-02-11,0.06294286031517453,,0.07435450455480096,False
2013-02-12,0.06074312524405865,,0.07230081404128928,False
2013-02-13,0.06274901076287252,,0.07297970097226908,False
2013-02-14,0.06675970133862079,,0.07393571178639127,False
2013-02-15,0.0617497980975249,,0.0741175751138673,False
2013-02-19,0.0587420629590801,,0.07305830149272086,False
2013-02-20,0.05645102117594997,,0.0731477796343585,False
2013-02-21,0.07638589495802997,,0.07009443598692583,False
2013-02-22,0.05674314096607418,,0.07940122796127994,False
2013-02-25,0.056073912800396454,,0.08045718165731651,False
2013-02-26,0.05858521361148121,,0.07996845411566122,False
2013-02-27,0.0677044877468557,,0.07982373262179199,False
2013-02-28,0.05897365195410802,,0.07952358434927441,False
2013-03-01,0.06891383068920556,,0.07730910202047216,False
2013-03-04,0.05481312320062627,,0.07270126955549489,False
2013-03-05,0.06204217452372987,,0.0770827693925207,False
2013-03-06,0.06066622270492241,,0.0730196707317887,False
2013-03-07,0.05403812670921743,,0.07322439000716377,False
2013-03-08,0.07048735492575973,,0.07239344271644453,False
2013-03-11,0.06031760756413167,,0.07429252981551636,False
2013-03-12,0.0575420376211351,,0.07441772909882617,False
2013-03-13,0.06300361746195969,,0.07582840317039573,False
2013-03-14,0.053858394980534005,,0.07627948613602835,False
2013-03-15,0.052945913214088376,,0.07491741213555086,False
2013-03-18,0.07017024665768443,,0.07126148946330202,False
2013-03-19,0.06542903096798791,,0.07063262750344701,False
2013-03-20,0.050166329835047235,,0.07253210168321676,False
2013-03-21,0.07389060164141552,,0.07290731273655442,False
2013-03-22,0.06617090105277948,,0.07585458655623296,False
2013-03-25,0.06108014692138553,,0.07849854547417934,False
2013-03-26,0.05442581068617115,,0.07873184938417768,False
2013-03-27,0.09786489874592266,,0.07618090140648662,False
2013-03-28,0.05907300093253534,,0.07556219460786408,False
2013-04-01,0.06456770411203995,0.07023366831129949,0.07387437831422461,False
2013-04-02,0.0594220217189344,0.07017024665768443,0.07383370653480807,False
2013-04-03,0.06852771158784983,0.06991896346398865,0.07430570770778176,False
2013-04-04,0.05943129243698385,0.06966768027029288,0.07349468408431802,False
2013-04-05,0.08423822768528075,0.06941639707659712,0.06874849658319009,True
2013-04-08,0.08000849645407887,0.07023366831129949,0.06967289572117068,True
2013-04-09,0.05727546440827316,0.07048735492575973,0.07033177193342857,False
2013-04-10,0.0569966804465248,0.07042393327214468,0.07084072589086642,False
2013-04-11,0.05944786567293861,0.07036051161852962,0.06792891941200001,False
2013-04-12,0.06891651730869695,0.07029708996491456,0.06923242862751734,False
2013-04-15,0.06996524652906552,0.07023366831129949,0.06719747896090948,False
2013-04-16,0.0661289190538001,0.07017024665768443,0.07102223466274912,False
2013-04-17,0.07201612001475555,0.07012924663196064,0.07268470326774083,True
2013-04-18,0.07966850563684917,0.07036051161852962,0.07333215516179488,True
2013-04-19,0.06372354412649475,0.07076806895511048,0.07394457363238013,False
2013-04-22,0.06342552516999453,0.0706277119404351,0.07499406229721252,False
2013-04-23,0.05229761135776208,0.07048735492575973,0.07517192386197423,False
2013-04-24,0.06282877592616352,0.07042393327214468,0.07365346779597828,False
2013-04-25,0.05878910534202045,0.07036051161852962,0.07289283920151302,False
2013-04-26,0.0632702868397628,0.07029708996491456,0.07385341538702532,False
2013-04-29,0.061031491362691606,0.07023366831129949,0.07335167868031438,False
2013-04-30,0.0625225352668507,0.07017024665768443,0.07359039079802375,False
2013-05-01,0.058040838487326774,0.07012924663196064,0.07169245072064236,False
2013-05-02,0.058227110977151705,0.07008824660623687,0.07280735101829396,False
2013-05-03,0.07630868455389062,0.07004724658051309,0.0738016475206148,True
2013-05-06,0.06762664308388033,0.07023366831129949,0.07241354523482293,False
2013-05-07,0.06436863607922333,0.07017024665768443,0.07338374614647578,False
2013-05-08,0.0683868181367606,0.07012924663196064,0.07316728577404515,False
2013-05-09,0.06012666298782672,0.07008824660623687,0.0732451549977868,False
2013-05-10,0.06083135408958354,0.07004724658051309,0.0724869984352581,False
2013-05-13,0.06027199871206154,0.0700062465547893,0.07288623403912242,False
2013-05-14,0.059936279260624434,0.06996524652906552,0.07276916934045041,False
2013-05-15,0.06079300467578412,0.06975550068499181,0.07266409264369732,False
