aum_label,aum,gross_sharpe,after_commission_sharpe,after_slippage_sharpe,net_sharpe,total_sharpe_degradation,commission_sharpe_drag,slippage_sharpe_drag,trading_cost_sharpe_drag,borrow_sharpe_drag,commission_cost_ann_bps,slippage_cost_ann_bps,trading_cost_ann_bps,borrow_cost_ann_bps,total_cost_ann_bps
50M,50000000.0,0.8913073920027579,0.7498057158481597,0.32040856351226504,0.30906404054061226,0.5822433514621457,0.1415016761545982,0.42939715233589465,0.5708988284904928,0.011344522971652782,35.62247651697036,106.86742955091106,142.48990606788144,2.8079470198675494,145.297853087749
250M,250000000.0,0.9051994886252283,0.7643002577727955,0.33666422725654777,0.3253721179884442,0.579827370636784,0.14089923085243272,0.42763603051624777,0.5685352613686805,0.01129210926810359,35.6423071439609,106.9269214318827,142.5692285758436,2.80794701986755,145.37717559571115
1B,1000000000.0,1.1487117764065153,1.0393216269341565,0.706583486059083,0.6988354941967249,0.4498762822097905,0.10939014947235881,0.3327381408750735,0.4421282903474323,0.0077479918623581945,30.541348185691557,91.62404455707465,122.16539274276623,2.1223975662685133,124.28779030903472
