date,ic,pval,n_stocks
2013-01-02,0.12142001190074314,0.003376009158564235,581
2013-01-03,0.09683404866345939,0.019046933208100986,586
2013-01-04,0.09515836087518174,0.020792310558755803,590
2013-01-07,0.12995946038253167,0.0015306161313119427,592
2013-01-08,0.049630102011156814,0.228311299850708,591
2013-01-09,0.10201829824883091,0.012858742616208136,594
2013-01-10,0.03952428092750709,0.335416355340853,596
2013-01-11,-0.04955956541319018,0.22739847452240514,595
2013-01-14,-0.010741601206928502,0.7942393574197208,592
2013-01-15,-0.025352412134422176,0.5395102408226158,588
2013-01-16,0.22023140339330907,7.386582265012351e-08,585
2013-01-17,0.026186422545099442,0.5294441076830507,579
2013-01-18,0.08826761052205427,0.033559139588553666,580
2013-01-22,0.05877652968506634,0.15926088483174755,575
2013-01-23,-0.02072746164396962,0.622659495638505,566
2013-01-24,0.07747908191140938,0.06891832589598614,552
2013-01-25,0.020043745477833132,0.6344826382048903,565
2013-01-28,0.14723566635062466,0.0004207330815324778,570
2013-01-29,0.093762083285722,0.025056547022165768,571
2013-01-30,0.053274725166147736,0.2105716480427225,554
2013-01-31,0.11892689199764059,0.004572834555443474,567
2013-02-01,0.23078773210552275,2.296885359793863e-08,573
2013-02-04,0.08342368798787808,0.04245484143838306,592
2013-02-05,0.2057514906264977,4.628108511194318e-07,590
2013-02-06,0.04308799397899424,0.30106911052176355,578
2013-02-07,-0.0006371718348196175,0.987762112749988,582
2013-02-08,0.012810207169745546,0.7557703690253572,592
2013-02-11,0.01685117017647412,0.6783727070899566,608
2013-02-12,0.09198853503970363,0.02330695849644085,608
2013-02-13,0.10166002539593516,0.012649038805969588,601
2013-02-14,0.0795734749381476,0.051006228675107464,602
2013-02-15,0.04022081923718115,0.3225198225523399,607
2013-02-19,0.07601108016676338,0.06105338991101265,608
2013-02-20,-0.030665904378352458,0.4522627603694801,603
2013-02-21,0.39583215508931957,6.072051864839473e-24,600
2013-02-22,0.11741556101859665,0.0036278436763768733,612
2013-02-25,0.06237426261607104,0.12321933193354986,612
2013-02-26,0.07446903734863021,0.06650543404694435,608
2013-02-27,0.06811794999360618,0.09305322967280814,609
2013-02-28,-0.009055708802815402,0.8235187341647724,609
2013-03-01,-0.11161202904359621,0.005251252513778508,624
2013-03-04,0.2567242627105796,5.906842470359207e-11,631
2013-03-05,-0.0976304730189558,0.013920869300532414,634
2013-03-06,0.08202731884829188,0.03894194630856093,634
2013-03-07,0.03583176192479819,0.36925361521387445,630
2013-03-08,0.15975144927374849,5.481797087961721e-05,632
2013-03-11,0.08017689613107776,0.044086308550294315,631
2013-03-12,0.14213008453416484,0.0003455261149653138,630
2013-03-13,0.09793146848639402,0.01385307381005958,631
2013-03-14,0.008175786112153943,0.8375958631429921,631
2013-03-15,-0.11153464414913992,0.005032916674905553,631
2013-03-18,0.038560667550841206,0.33121119171862234,637
2013-03-19,0.17130475903124423,1.4448678799726614e-05,634
2013-03-20,0.09279349856344984,0.020029996217377704,628
2013-03-21,0.23500737281887443,2.7325627745749305e-09,625
2013-03-22,0.2239162859612298,1.5661071325491683e-08,624
2013-03-25,0.09179686834408549,0.021828947890333964,624
2013-03-26,-0.06922313332190366,0.08502783708533612,620
2013-03-27,0.03967720028775579,0.32396185572002545,620
2013-03-28,-0.02570678301050376,0.5238944652760322,617
2013-04-01,0.07139339976981612,0.07710939441153015,614
2013-04-02,0.10309777925917672,0.010580056262532065,614
2013-04-03,0.023211219429565638,0.5659294449609623,614
2013-04-04,-0.23026131598786964,7.844899866282338e-09,614
2013-04-05,0.12883444055192847,0.001353179933085791,616
2013-04-08,0.11315872573019174,0.005032058282702858,613
2013-04-09,0.10443168708176402,0.009729773411357315,612
2013-04-10,-0.12716211467204871,0.001649465465699038,610
2013-04-11,0.1578710552826962,8.659739784853638e-05,613
2013-04-12,-0.0732140480350333,0.07053542398772712,611
2013-04-15,0.3387551337915249,1.0374748090169469e-17,605
2013-04-16,0.1907199742221506,2.5364216394870467e-06,600
2013-04-17,0.11994869153368631,0.0035520812378462842,589
2013-04-18,0.11865112198510366,0.003930857745797988,589
2013-04-19,0.15265622349480976,0.00019766691783615887,590
