aum_label,aum,threshold_feature_short_dsi,high_si_position_count,all_position_count,high_si_notional_share_pct,high_si_gross_pnl,total_gross_pnl,high_si_total_period_gross_bps,high_si_ann_gross_bps,high_si_share_of_total_gross_pnl_pct
50m,50000000.0,0.1,2751,32132,7.620823629457861,3370163.585914378,13273304.889021788,674.0327171828756,56.243789645723396,25.39053848376379
250m,250000000.0,0.1,2751,32132,7.503253413497352,17382687.12447746,67699158.8893122,695.3074849790984,58.01903517044132,25.67637088800183
1b,1000000000.0,0.1,2751,32132,8.476229357283396,89153349.24093664,374661345.6573595,891.5334924093664,74.39286095601335,23.79571585761356
